cod;municipio;popula
3166600;Serra da Saudade (MG);781
3507209;Borá (SP);837
5101209;Araguainha (MT);935
4306924;Engenho Velho (RS);1034
1715507;Oliveira de Fátima (TO);1112
5201207;Anhanguera (GO);1149
4322350;União da Serra (RS);1154
3115607;Cedro do Abaeté (MG);1164
3555901;Uru (SP);1165
2206308;Miguel Leão (PI);1246
4215695;Santiago do Sul (SC);1260
3532868;Nova Castilho (SP);1267
4112603;Jardim Olinda (PR);1331
4300661;André da Rocha (RS);1333
5204201;Cachoeira de Goiás (GO);1351
4315073;Porto Vera Cruz (RS);1360
4304853;Carlos Gomes (RS);1377
5220058;São João da Paraúna (GO);1381
3127909;Grupiara (MG);1388
1704600;Chapada de Areia (TO);1406
4209458;Lajeado Grande (SC);1427
4312351;Montauri (RS);1453
3515806;Flora Rica (SP);1464
4322186;Tupanci do Sul (RS);1472
3547205;Santana da Ponte Pensa (SP);1487
4305835;Coqueiro Baixo (RS);1501
3165800;Senador José Bento (MG);1502
4309258;Guabiju (RS);1503
4211876;Paial (SC);1505
3164803;São Sebastião do Rio Preto (MG);1506
3123403;Doresópolis (MG);1527
3146602;Paiva (MG);1529
5213400;Moiporá (GO);1529
4116505;Nova Aliança do Ivaí (PR);1543
3547650;Santa Salete (SP);1545
4314787;Ponte Preta (RS);1547
4323606;Vista Alegre do Prata (RS);1561
4213906;Presidente Castello Branco (SC);1568
4208955;Jardinópolis (SC);1570
5106703;Ponte Branca (MT);1576
4205357;Flor do Sertão (SC);1582
1720150;São Félix do Tocantins (TO);1585
5212253;Lagoa Santa (GO);1588
4123600;Santa Inês (PR);1596
3103108;Antônio Prado de Minas (MG);1598
4311270;Lagoa dos Três Cantos (RS);1609
4305934;Coronel Pilar (RS);1628
4217956;Tigrinhos (SC);1633
4308854;Gentil (RS);1634
4300554;Alto Alegre (RS);1638
4315131;Pouso Novo (RS);1639
4316733;Santa Cecília do Sul (RS);1639
4312179;Mato Queimado (RS);1648
3147501;Passabém (MG);1649
5107883;Serra Nova Dourada (MT);1650
4304622;Capão Bonito do Sul (RS);1654
4202099;Barra Bonita (SC);1677
4312674;Nicolau Vergueiro (RS);1682
4301925;Barra do Rio Azul (RS);1690
4107520;Esperança Nova (PR);1698
4311643;Linha Nova (RS);1714
3515657;Fernão (SP);1716
4304614;Canudos do Vale (RS);1716
2414902;Viçosa (RN);1718
4313466;Novo Xingu (RS);1719
1706258;Crixás do Tocantins (TO);1722
3554755;Trabiju (SP);1724
3555307;Turmalina (SP);1727
4317251;Santa Tereza (RS);1729
3145406;Olaria (MG);1747
3160504;Santo Antônio do Rio Abaixo (MG);1765
4308250;Floriano Peixoto (RS);1766
2510659;Parari (PB);1771
4210050;Macieira (SC);1775
4312955;Nova Boa Vista (RS);1775
3118502;Consolação (MG);1783
3503356;Arco-Íris (SP);1791
3513850;Dirce Reis (SP);1793
5209457;Guarinos (GO);1794
4210555;Marema (SC);1797
2514651;São José do Brejo do Cruz (PB);1801
4116000;Miraselva (PR);1806
3149408;Pedro Teixeira (MG);1807
4322855;Vespasiano Corrêa (RS);1815
4217154;São Miguel da Boa Vista (SC);1820
3503950;Aspásia (SP);1822
3536570;Paulistânia (SP);1833
4306130;Cruzaltense (RS);1833
3556958;Vitória Brasil (SP);1840
3555703;União Paulista (SP);1844
4315313;Quatro Irmãos (RS);1849
5200209;Água Limpa (GO);1850
3166402;Seritinga (MG);1851
3168200;Tapiraí (MG);1875
3532843;Nova Canaã Paulista (SP);1881
4310462;Ipiranga do Sul (RS);1889
1721257;Tupirama (TO);1891
4312625;Muliterno (RS);1893
3123502;Douradoquara (MG);1908
3529658;Mesópolis (SP);1908
4310751;Ivorá (RS);1910
2504850;Coxixola (PB);1921
3549250;São João de Iracema (SP);1922
1712157;Lavandeira (TO);1923
4207858;Irati (SC);1930
4200754;Alto Bela Vista (SC);1937
3153806;Queluzito (MG);1939
4314464;Pinhal da Serra (RS);1941
4100459;Altamira do Paraná (PR);1942
4302378;Bom Progresso (RS);1942
4315172;Protásio Alves (RS);1947
2512788;Riacho de Santo Antônio (PB);1948
2512606;Quixaba (PB);1956
4206751;Ibiam (SC);1957
4204756;Cunhataí (SC);1962
4320453;Sério (RS);1962
3167004;Serranos (MG);1963
4300471;Almirante Tamandaré do Sul (RS);1964
1720853;Sucupira (TO);1966
4320578;Sete de Setembro (RS);1970
4318465;São José do Herval (RS);1971
4314175;Pedras Altas (RS);1982
4306759;Doutor Ricardo (RS);1983
4302055;Benjamin Constant do Sul (RS);1994
